GW1-SF10,GW2-SF10,GW3-SF10,GW4-SF10,GW1-SF12,GW2-SF12,GW3-SF12,GW4-SF12,latitude ,longitude
-100,-92,-93,-88,-99,-89,-94,-86,16.92774,42.58829
-95,-132,-96,-86,-94,-89,-95,-87,16.92699,42.58786
-104,-132,-95,-86,-101,-89,-94,-87,16.92683,42.58712
-96,-132,-92,-84,-96,-132,-92,-86,16.9268,42.5859
-102,-82,-93,-84,-101,-87,-93,-86,16.9273,42.58589
-97,-85,-92,-92,-99,-86,-90,-91,16.92787,42.58462
-99,-89,-93,-86,-98,-88,-92,-86,16.92644,42.5838
-100,-90,-92,-90,-99,-86,-92,-90,16.9267,42.58209
-99,-88,-93,-85,-98,-86,-92,-84,16.92727,42.58182
-98,-91,-94,-89,-99,-87,-92,-88,16.92722,42.5826
-96,-91,-97,-89,-96,-87,-93,-87,16.9268,42.58271
-98,-88,-93,-86,-96,-85,-90,-85,16.92696,42.58325
-98,-91,-92,-86,-98,-86,-92,-86,16.92743,42.5832
-101,-89,-94,-91,-100,-86,-93,-90,16.92799,42.58319
-98,-89,-93,-90,-98,-88,-92,-90,16.92807,42.5825
-100,-90,-93,-92,-100,-87,-92,-91,16.92787,42.58382
-98,-92,-93,-88,-98,-86,-92,-88,16.9275,42.58384
-96,-92,-94,-90,-96,-86,-95,-89,16.92694,42.58392
-100,-88,-92,-87,-98,-86,-92,-86,16.92702,42.58466
-100,-87,-91,-92,-98,-86,-93,-91,16.92809,42.58179
-99,-90,-95,-89,-96,-85,-92,-90,16.92801,42.58099
-99,-89,-93,-87,-98,-87,-91,-89,16.92811,42.57991
-102,-89,-92,-89,-99,-86,-93,-90,16.92761,42.57958
-99,-89,-95,-88,-98,-88,-94,-88,16.9266,42.58081
-97,-132,-93,-88,-97,-87,-89,-88,16.92746,42.58084
-99,-89,-94,-89,-98,-86,-91,-88,16.92753,42.57953
-99,-91,-94,-87,-97,-87,-91,-85,16.92702,42.57927
-95,-91,-92,-87,-95,-84,-91,-87,16.92633,42.57879
-101,-91,-94,-90,-101,-88,-93,-91,16.93211,42.58438
-100,-91,-94,-92,-96,-91,-94,-90,16.93131,42.5842
-98,-92,-94,-88,-97,-90,-94,-91,16.93058,42.58403
-98,-92,-95,-91,-96,-90,-94,-91,16.92967,42.58385
-99,-132,-94,-89,-97,-90,-94,-91,16.92974,42.58301
-97,-132,-95,-92,-97,-93,-94,-90,16.9301,42.58301
-97,-92,-94,-93,-98,-88,-94,-91,16.93102,42.58309
-102,-91,-93,-90,-99,-87,-92,-91,16.93184,42.58324
-99,-91,-92,-90,-98,-88,-92,-89,16.9321,42.5825
-99,-91,-94,-90,-99,-88,-94,-90,16.93218,42.5817
-97,-90,-93,-91,-97,-86,-94,-91,16.93132,42.58162
-98,-89,-93,-91,-96,-86,-92,-90,16.93068,42.58157
-99,-95,-96,-91,-99,-89,-95,-92,16.9307,42.5823
-98,-90,-94,-90,-97,-89,-95,-91,16.92972,42.58219
-98,-132,-97,-91,-95,-91,-96,-90,16.92941,42.58144
-97,-132,-96,-89,-97,-92,-96,-90,16.92909,42.58104
-96,-132,-94,-90,-96,-132,-96,-88,16.92909,42.5803
-94,-91,-96,-90,-94,-93,-94,-90,16.92959,42.5803
-97,-132,-94,-90,-96,-90,-94,-91,16.9298,42.58091
-99,-91,-94,-92,-99,-88,-93,-90,16.9307,42.5811
-98,-132,-99,-91,-96,-86,-96,-90,16.93072,42.5804
-100,-88,-95,-91,-98,-85,-93,-88,16.9318,42.5798
-98,-92,-96,-90,-96,-92,-96,-90,16.931,42.5797
-97,-92,-96,-90,-95,-90,-96,-90,16.9302,42.57981
-99,-90,-95,-91,-98,-86,-95,-90,16.9319,42.57917
-100,-89,-95,-91,-97,-87,-94,-90,16.931,42.57914
-98,-132,-100,-89,-96,-90,-97,-91,16.93003,42.57904
-97,-89,-93,-90,-96,-85,-93,-89,16.93187,42.57847
-99,-92,-94,-89,-96,-85,-93,-90,16.93085,42.57838
-98,-92,-95,-90,-96,-87,-93,-89,16.93002,42.57834
-100,-91,-95,-90,-98,-88,-93,-90,16.93,42.5775
-98,-89,-92,-90,-97,-86,-91,-88,16.93112,42.57759
-98,-132,-132,-90,-97,-86,-96,-89,16.93139,42.57657
-101,-132,-132,-90,-98,-132,-92,-90,16.93139,42.5756
-96,-132,-97,-90,-97,-132,-94,-89,16.9313,42.57469
-99,-132,-132,-88,-98,-90,-97,-88,16.9311,42.57386
-99,-93,-94,-90,-96,-88,-93,-89,16.93051,42.57148
-93,-90,-95,-90,-92,-85,-93,-89,16.92983,42.57119
-103,-92,-94,-91,-101,-89,-94,-89,16.92828,42.5792
-100,-90,-95,-92,-99,-89,-94,-91,16.92759,42.57889
-97,-132,-96,-89,-97,-88,-95,-90,16.92681,42.57839
-96,-132,-96,-90,-93,-91,-95,-89,16.9261,42.5773
-98,-132,-96,-90,-97,-89,-93,-88,16.927,42.57719
-102,-89,-95,-90,-99,-87,-93,-90,16.92779,42.57718
-97,-91,-94,-91,-97,-85,-92,-91,16.9278,42.57629
-102,-86,-93,-87,-102,-86,-94,-86,16.92684,42.57618
-103,-91,-95,-88,-102,-87,-94,-87,16.9259,42.5761
-100,-132,-95,-90,-100,-88,-94,-88,16.92588,42.57525
-100,-92,-93,-88,-103,-89,-93,-90,16.92679,42.57539
-102,-91,-92,-86,-103,-90,-95,-87,16.9269,42.57479
-101,-91,-95,-88,-101,-89,-94,-89,16.9258,42.57467
-97,-91,-95,-91,-90,-84,-94,-91,16.93058,42.56839
-97,-132,-96,-89,-95,-132,-95,-89,16.93179,42.56826
-93,-89,-95,-89,-93,-86,-94,-90,16.93186,42.56889
-95,-89,-95,-90,-97,-98,-95,-88,16.9324,42.56951
-90,-88,-96,-89,-93,-86,-95,-89,16.9315,42.56952
-94,-91,-93,-90,-93,-90,-93,-89,16.9317,42.57012
-95,-91,-93,-91,-92,-88,-94,-90,16.9324,42.57019
-96,-120,-94,-89,-89,-89,-94,-89,16.93245,42.5711
-91,-92,-94,-89,-91,-86,-93,-89,16.9318,42.57093
-92,-89,-93,-88,-92,-84,-91,-87,16.93151,42.573
-97,-90,-95,-87,-94,-84,-93,-91,16.93228,42.57293
-94,-91,-96,-89,-94,-90,-95,-88,16.9305,42.5691
-89,-88,-93,-87,-90,-87,-94,-86,16.93225,42.57204
-93,-92,-94,-88,-94,-88,-95,-90,16.9341,42.57006
-97,-93,-94,-87,-95,-89,-93,-89,16.9341,42.57173
-89,-91,-95,-89,-88,-88,-95,-88,16.9356,42.5681
-95,-132,-95,-88,-92,-92,-94,-87,16.93582,42.56949
-99,-93,-96,-91,-96,-88,-93,-90,16.93459,42.57329
-100,-132,-96,-88,-98,-91,-96,-87,16.9361,42.56651
-95,-90,-95,-89,-94,-91,-95,-88,16.9366,42.56999
-96,-92,-94,-90,-94,-93,-95,-90,16.9351,42.56969
-94,-89,-93,-90,-92,-88,-95,-88,16.93506,42.57053
-95,-90,-95,-90,-94,-88,-95,-88,16.93456,42.57066
-98,-92,-94,-90,-93,-89,-93,-88,16.93478,42.57161
-98,-90,-94,-89,-96,-88,-94,-88,16.93541,42.57228
-97,-90,-94,-90,-94,-89,-98,-90,16.93428,42.56774
-97,-89,-92,-88,-97,-87,-93,-87,16.93355,42.57899
-100,-93,-94,-89,-97,-89,-93,-87,16.93359,42.57822
-97,-132,-97,-89,-96,-93,-96,-87,16.93366,42.57749
-95,-93,-95,-88,-95,-90,-96,-87,16.9337,42.57642
-94,-132,-96,-89,-93,-132,-95,-88,16.93389,42.57551
-97,-91,-96,-88,-95,-91,-96,-86,16.9337,42.57381
-92,-83,-87,-85,-89,-88,-86,-83,16.9328,42.5683
