GW1-SF10,GW2-SF10,GW3-SF10,GW4-SF10,GW1-SF12,GW2-SF12,GW3-SF12,GW4-SF12,latitude ,longitude
-90,-90,-90,-84,-89,-87,-90,-85,16.9329,42.5711
-92,-91,-91,-85,-93,-87,-89,-84,16.9328,42.5739
-94,-89,-90,-87,-92,-88,-91,-85,16.9327,42.5767
-96,-88,-91,-91,-95,-85,-91,-89,16.9327,42.5796
-92,-90,-89,-87,-91,-87,-91,-87,16.9365,42.5683
-91,-86,-88,-88,-92,-84,-88,-86,16.9325,42.5852
-96,-87,-89,-92,-94,-86,-90,-89,16.9326,42.5824
-93,-87,-91,-91,-91,-87,-92,-90,16.9289,42.5852
-200,-200,-200,-200,-95,-84,-91,-89,16.9328,42.5796
-91,-86,-89,-87,-91,-85,-89,-88,16.9288,42.5824
-91,-87,-90,-88,-90,-84,-89,-88,16.9288,42.5797
-92,-83,-85,-88,-92,-82,-86,-88,16.9287,42.5766
-93,-88,-88,-87,-92,-84,-86,-85,16.9286,42.5711
-96,-87,-90,-88,-94,-86,-90,-86,16.9259,42.5822
-90,-87,-90,-88,-91,-86,-89,-89,16.9368,42.5711
-91,-87,-90,-84,-91,-86,-90,-85,16.9256,42.5795
-95,-86,-91,-88,-94,-85,-90,-88,16.9245,42.5713
-93,-90,-91,-85,-93,-85,-89,-84,16.9331,42.5691
-89,-87,-88,-84,-89,-85,-90,-83,16.9331,42.57
-91,-90,-92,-88,-90,-87,-92,-86,16.9329,42.5721
-93,-87,-91,-88,-92,-86,-90,-88,16.9329,42.5731
-93,-200,-93,-88,-92,-92,-91,-86,16.9328,42.5748
-92,-200,-93,-90,-89,-93,-92,-88,16.9328,42.5757
-95,-200,-94,-88,-92,-89,-91,-87,16.9327,42.5777
-93,-88,-88,-88,-91,-83,-87,-87,16.9327,42.5787
-94,-87,-90,-88,-95,-84,-89,-87,16.9326,42.5799
-95,-89,-91,-88,-95,-84,-89,-87,16.9325,42.581
-94,-88,-94,-86,-91,-91,-93,-87,16.9321,42.5765
-92,-200,-92,-87,-91,-89,-93,-88,16.9318,42.5747
-92,-87,-91,-87,-90,-85,-89,-88,16.9315,42.5729
-93,-91,-89,-88,-90,-88,-89,-85,16.9313,42.572
-93,-90,-93,-88,-90,-89,-93,-87,16.931,42.5702
-90,-91,-93,-89,-92,-89,-92,-88,16.9348,42.5682
-93,-94,-92,-87,-93,-90,-91,-87,16.9353,42.5713
-93,-87,-89,-90,-91,-85,-90,-89,16.9288,42.5842
-95,-87,-91,-89,-92,-85,-90,-88,16.9288,42.5833
-94,-89,-91,-90,-91,-86,-89,-90,16.9288,42.5815
-94,-86,-89,-88,-92,-84,-86,-88,16.9288,42.5804
-94,-87,-91,-89,-92,-89,-90,-87,16.9288,42.5787
