GW1-SF9,GW2-SF9,GW3-SF9,GW4-SF9,GW1-SF11,GW2-SF11,GW3-SF11,GW4-SF11,latitude ,longitude
-101,-132,-95,-89,-100,-91,-95,-88,16.92774,42.58829
-98,-132,-96,-86,-96,-132,-95,-86,16.92699,42.58786
-105,-132,-94,-87,-103,-132,-95,-86,16.92683,42.58712
-100,-93,-93,-85,-98,-82,-94,-85,16.9268,42.5859
-103,-91,-94,-85,-101,-87,-93,-86,16.9273,42.58589
-99,-88,-91,-88,-100,-88,-93,-92,16.92787,42.58462
-100,-91,-93,-86,-99,-87,-93,-86,16.92644,42.5838
-100,-92,-92,-89,-100,-90,-93,-89,16.9267,42.58209
-100,-92,-94,-85,-99,-89,-94,-84,16.92727,42.58182
-99,-90,-93,-88,-99,-89,-92,-90,16.92722,42.5826
-98,-92,-95,-88,-98,-88,-93,-89,16.9268,42.58271
-98,-90,-93,-86,-98,-87,-91,-87,16.92696,42.58325
-99,-91,-93,-87,-99,-88,-93,-86,16.92743,42.5832
-101,-91,-94,-90,-100,-89,-94,-90,16.92799,42.58319
-100,-92,-93,-92,-98,-88,-93,-90,16.92807,42.5825
-100,-91,-94,-90,-99,-88,-92,-94,16.92787,42.58382
-98,-92,-93,-89,-98,-91,-92,-90,16.9275,42.58384
-97,-91,-92,-88,-97,-88,-91,-89,16.92694,42.58392
-101,-90,-94,-85,-98,-92,-92,-85,16.92702,42.58466
-99,-89,-93,-89,-98,-87,-92,-91,16.92809,42.58179
-99,-84,-94,-90,-98,-86,-92,-88,16.92801,42.58099
-100,-89,-94,-89,-99,-88,-92,-88,16.92811,42.57991
-103,-89,-93,-91,-101,-87,-94,-90,16.92761,42.57958
-100,-132,-95,-89,-99,-89,-94,-89,16.9266,42.58081
-100,-132,-93,-89,-99,-86,-92,-89,16.92746,42.58084
-97,-132,-93,-88,-97,-89,-94,-89,16.92753,42.57953
-99,-132,-93,-85,-98,-90,-93,-85,16.92702,42.57927
-96,-90,-95,-88,-95,-87,-93,-88,16.92633,42.57879
-103,-90,-95,-92,-102,-90,-94,-91,16.93211,42.58438
-99,-92,-94,-93,-97,-92,-95,-91,16.93131,42.5842
-97,-132,-95,-132,-98,-92,-94,-90,16.93058,42.58403
-99,-132,-95,-96,-99,-92,-94,-92,16.92967,42.58385
-99,-132,-97,-91,-99,-91,-95,-91,16.92974,42.58301
-98,-132,-96,-96,-96,-132,-96,-91,16.9301,42.58301
-99,-92,-93,-91,-98,-92,-94,-93,16.93102,42.58309
-102,-132,-94,-93,-99,-91,-93,-92,16.93184,42.58324
-99,-90,-94,-90,-101,-89,-93,-90,16.9321,42.5825
-101,-96,-95,-89,-99,-89,-93,-90,16.93218,42.5817
-98,-92,-94,-92,-99,-88,-95,-91,16.93132,42.58162
-99,-90,-94,-91,-98,-89,-93,-91,16.93068,42.58157
-99,-132,-98,-91,-100,-92,-95,-91,16.9307,42.5823
-98,-132,-94,-92,-96,-89,-95,-90,16.92972,42.58219
-97,-132,-98,-92,-97,-132,-96,-90,16.92941,42.58144
-98,-132,-132,-91,-97,-132,-98,-90,16.92909,42.58104
-96,-132,-132,-90,-97,-132,-96,-89,16.92909,42.5803
-96,-132,-94,-93,-96,-90,-95,-92,16.92959,42.5803
-98,-132,-97,-92,-97,-90,-95,-90,16.9298,42.58091
-100,-132,-95,-91,-99,-89,-94,-91,16.9307,42.5811
-98,-132,-132,-91,-100,-90,-95,-92,16.93072,42.5804
-101,-132,-94,-91,-100,-87,-93,-91,16.9318,42.5798
-97,-132,-132,-91,-99,-90,-93,-92,16.931,42.5797
-98,-132,-132,-91,-96,-93,-90,-90,16.9302,42.57981
-98,-92,-95,-91,-99,-88,-93,-90,16.9319,42.57917
-99,-132,-94,-91,-98,-88,-94,-90,16.931,42.57914
