GW1-SF9,GW2-SF9,GW3-SF9,GW4-SF9,GW1-SF11,GW2-SF11,GW3-SF11,GW4-SF11,latitude ,longitude
-97,-132,-132,-91,-97,-91,-97,-91,16.93003,42.57904
-96,-95,-95,-90,-97,-87,-94,-91,16.93187,42.57847
-99,-95,-95,-90,-99,-89,-94,-90,16.93085,42.57838
-98,-93,-96,-90,-97,-89,-94,-90,16.93002,42.57834
-101,-90,-96,-91,-98,-90,-93,-90,16.93,42.5775
-98,-132,-93,-89,-97,-88,-92,-90,16.93112,42.57759
-98,-132,-132,-88,-99,-132,-96,-89,16.93139,42.57657
-101,-132,-132,-91,-99,-132,-132,-89,16.93139,42.5756
-97,-132,-95,-88,-97,-132,-97,-89,16.9313,42.57469
-99,-132,-132,-89,-100,-132,-132,-90,16.9311,42.57386
-99,-87,-92,-90,-98,-92,-94,-90,16.93051,42.57148
-94,-132,-93,-91,-95,-90,-95,-91,16.92983,42.57119
-103,-91,-95,-92,-101,-90,-94,-89,16.92828,42.5792
-101,-132,-96,-94,-100,-90,-95,-91,16.92759,42.57889
-98,-132,-95,-92,-96,-132,-97,-91,16.92681,42.57839
-98,-132,-132,-90,-96,-132,-96,-90,16.9261,42.5773
-98,-132,-94,-89,-96,-132,-95,-89,16.927,42.57719
-101,-132,-96,-92,-100,-89,-94,-91,16.92779,42.57718
-100,-132,-94,-93,-98,-85,-92,-91,16.9278,42.57629
-106,-89,-94,-88,-102,-88,-94,-88,16.92684,42.57618
-106,-132,-94,-90,-104,-89,-94,-88,16.9259,42.5761
-102,-91,-96,-89,-99,-91,-95,-89,16.92588,42.57525
-103,-84,-93,-89,-104,-90,-92,-88,16.92679,42.57539
-105,-132,-96,-90,-102,-90,-94,-86,16.9269,42.57479
-106,-132,-95,-89,-100,-90,-96,-86,16.9258,42.57467
-96,-88,-94,-93,-95,-87,-93,-95,16.93058,42.56839
-97,-132,-95,-91,-96,-90,-95,-89,16.93179,42.56826
-98,-132,-95,-92,-94,-86,-96,-89,16.93186,42.56889
-99,-132,-102,-89,-98,-87,-95,-90,16.9324,42.56951
-95,-132,-95,-91,-94,-87,-95,-89,16.9315,42.56952
-97,-92,-94,-90,-96,-89,-94,-89,16.9317,42.57012
-99,-132,-97,-92,-97,-132,-94,-90,16.9324,42.57019
-95,-132,-95,-94,-95,-88,-95,-92,16.93245,42.5711
-92,-132,-93,-91,-93,-87,-93,-90,16.9318,42.57093
-97,-89,-94,-90,-95,-86,-93,-89,16.93151,42.573
-98,-132,-96,-90,-96,-89,-95,-91,16.93228,42.57293
-95,-132,-100,-90,-95,-90,-94,-90,16.9305,42.5691
-96,-92,-95,-90,-98,-88,-93,-89,16.93225,42.57204
-96,-132,-96,-91,-96,-91,-95,-90,16.9341,42.57006
-97,-93,-98,-89,-98,-95,-96,-90,16.9341,42.57173
-91,-132,-132,-88,-92,-92,-95,-90,16.9356,42.5681
-94,-132,-95,-89,-96,-131,-96,-89,16.93582,42.56949
-96,-92,-95,-92,-98,-89,-94,-90,16.93459,42.57329
-100,-132,-97,-88,-99,-132,-96,-89,16.9361,42.56651
-99,-132,-88,-90,-98,-90,-96,-89,16.9366,42.56999
-100,-132,-96,-89,-94,-93,-93,-88,16.9351,42.56969
-96,-93,-96,-91,-94,-89,-93,-89,16.93506,42.57053
-98,-132,-96,-90,-95,-91,-92,-89,16.93456,42.57066
-99,-132,-96,-91,-96,-89,-95,-88,16.93478,42.57161
-101,-132,-96,-89,-96,-90,-95,-88,16.93541,42.57228
-100,-132,-99,-91,-96,-91,-94,-89,16.93428,42.56774
-100,-92,-94,-89,-98,-89,-93,-88,16.93355,42.57899
-102,-132,-96,-88,-99,-87,-95,-87,16.93359,42.57822
-98,-132,-132,-88,-97,-132,-96,-88,16.93366,42.57749
-95,-132,-99,-89,-96,-91,-95,-88,16.9337,42.57642
-97,-132,-132,-89,-96,-132,-97,-87,16.93389,42.57551
-99,-91,-97,-89,-98,-91,-96,-88,16.9337,42.57381
-91,-88,-93,-85,-88,-86,-90,-81,16.9328,42.5683
-90,-85,-91,-85,-89,-88,-91,-86,16.9329,42.5711
-93,-85,-91,-85,-92,-88,-90,-86,16.9328,42.5739
-94,-90,-93,-87,-94,-88,-91,-87,16.9327,42.5767
-95,-87,-90,-90,-95,-85,-91,-87,16.9327,42.5796
-92,-91,-132,-88,-92,-89,-92,-88,16.9365,42.5683
-93,-86,-89,-87,-91,-84,-88,-87,16.9325,42.5852
-96,-90,-91,-88,-94,-88,-90,-89,16.9326,42.5824
-94,-88,-92,-92,-91,-87,-91,-90,16.9289,42.5852
-132,-132,-132,-132,-96,-88,-93,-86,16.9328,42.5796
-94,-88,-90,-89,-92,-86,-89,-88,16.9288,42.5824
-93,-86,-91,-89,-91,-86,-90,-88,16.9288,42.5797
-93,-85,-86,-89,-93,-83,-86,-89,16.9287,42.5766
-94,-87,-86,-89,-94,-86,-87,-86,16.9286,42.5711
-96,-88,-91,-88,-95,-88,-91,-88,16.9259,42.5822
-91,-87,-91,-89,-92,-87,-90,-89,16.9368,42.5711
-91,-89,-91,-85,-91,-87,-90,-86,16.9256,42.5795
-94,-86,-89,-89,-94,-86,-91,-89,16.9245,42.5713
-95,-132,-95,-87,-93,-86,-91,-85,16.9331,42.5691
-90,-132,-132,-85,-90,-86,-89,-83,16.9331,42.57
-93,-91,-94,-89,-90,-88,-92,-88,16.9329,42.5721
-93,-89,-93,-91,-92,-88,-90,-89,16.9329,42.5731
-94,-132,-132,-88,-92,-200,-93,-88,16.9328,42.5748
-93,-132,-95,-91,-91,-93,-92,-91,16.9328,42.5757
-95,-132,-90,-88,-94,-200,-92,-88,16.9327,42.5777
-93,-87,-89,-90,-92,-84,-89,-88,16.9327,42.5787
-95,-88,-91,-88,-94,-85,-90,-88,16.9326,42.5799
-96,-88,-91,-88,-95,-85,-90,-88,16.9325,42.581
-94,-132,-94,-88,-92,-93,-94,-87,16.9321,42.5765
-93,-132,-132,-89,-93,-200,-94,-88,16.9318,42.5747
-93,-90,-91,-88,-92,-87,-90,-88,16.9315,42.5729
-93,-91,-90,-87,-90,-89,-90,-85,16.9313,42.572
-92,-92,-93,-88,-91,-89,-93,-88,16.931,42.5702
-93,-93,-94,-88,-92,-91,-93,-89,16.9348,42.5682
-95,-132,-91,-87,-94,-88,-92,-88,16.9353,42.5713
-93,-88,-91,-93,-93,-86,-89,-88,16.9288,42.5842
-93,-90,-91,-92,-93,-88,-91,-90,16.9288,42.5833
-95,-92,-92,-94,-93,-89,-92,-90,16.9288,42.5815
-96,-89,-89,-90,-94,-86,-88,-89,16.9288,42.5804
-95,-132,-92,-89,-94,-89,-91,-88,16.9288,42.5787
