GW1-SF9,GW2-SF9,GW3-SF9,GW4-SF9,GW1-SF12,GW2-SF12,GW3-SF12,GW4-SF12,latitude,longitude
-96,-132,-96,-91,-94,-88,-95,-90,16.93412,42.57003
-97,-93,-98,-89,-95,-89,-93,-89,16.9341,42.57172
-91,-132,-132,-88,-88,-88,-95,-88,16.93559,42.5681
-94,-132,-95,-89,-92,-92,-94,-87,16.93584,42.56949
-96,-92,-95,-92,-96,-88,-93,-90,16.93459,42.57329
-100,-132,-97,-88,-98,-91,-96,-87,16.93609,42.56651
-99,-132,-88,-90,-94,-91,-95,-88,16.9366,42.56999
-100,-132,-96,-89,-94,-93,-95,-90,16.93509,42.56969
-96,-93,-96,-91,-92,-88,-95,-88,16.93505,42.57056
-98,-132,-96,-90,-94,-88,-95,-88,16.93454,42.57065
-99,-132,-96,-91,-93,-89,-93,-88,16.93476,42.57162
-101,-132,-96,-89,-96,-88,-94,-88,16.9354,42.57229
-100,-132,-99,-91,-94,-89,-98,-90,16.93429,42.56779
-100,-92,-94,-89,-97,-87,-93,-87,16.93357,42.57898
-102,-132,-96,-88,-97,-89,-93,-87,16.9336,42.57823
-98,-132,-132,-88,-96,-93,-96,-87,16.93365,42.5775
-95,-132,-99,-89,-95,-90,-96,-87,16.93372,42.57643
-97,-132,-132,-89,-93,-132,-95,-88,16.9339,42.5755
-99,-91,-97,-89,-95,-91,-96,-86,16.93369,42.57381
-91,-88,-93,-85,-89,-88,-86,-83,16.9328,42.5683
-90,-85,-91,-85,-89,-87,-90,-85,16.9329,42.5711
-93,-85,-91,-85,-93,-87,-89,-84,16.9328,42.5739
-94,-90,-93,-87,-92,-88,-91,-85,16.9327,42.5767
-95,-87,-90,-90,-95,-85,-91,-89,16.9327,42.5796
-92,-91,-132,-88,-91,-87,-91,-87,16.9365,42.5683
-93,-86,-89,-87,-92,-84,-88,-86,16.9325,42.5852
-96,-90,-91,-88,-94,-86,-90,-89,16.9326,42.5824
-94,-88,-92,-92,-91,-87,-92,-90,16.9289,42.5852
-132,-132,-132,-132,-95,-84,-91,-89,16.9328,42.5796
-94,-88,-90,-89,-91,-85,-89,-88,16.9288,42.5824
-93,-86,-91,-89,-90,-84,-89,-88,16.9288,42.5797
-93,-85,-86,-89,-92,-82,-86,-88,16.9287,42.5766
-94,-87,-86,-89,-92,-84,-86,-85,16.9286,42.5711
-96,-88,-91,-88,-94,-86,-90,-86,16.9259,42.5822
-91,-87,-91,-89,-91,-86,-89,-89,16.9368,42.5711
-91,-89,-91,-85,-91,-86,-90,-85,16.9256,42.5795
-94,-86,-89,-89,-94,-85,-90,-88,16.9245,42.5713
-95,-132,-95,-87,-93,-85,-89,-84,16.9331,42.5691
-90,-132,-132,-85,-89,-85,-90,-83,16.9331,42.57
-93,-91,-94,-89,-90,-87,-92,-86,16.9329,42.5721
-93,-89,-93,-91,-92,-86,-90,-88,16.9329,42.5731
-94,-132,-132,-88,-92,-92,-91,-86,16.9328,42.5748
-93,-132,-95,-91,-89,-93,-92,-88,16.9328,42.5757
-95,-132,-90,-88,-92,-89,-91,-87,16.9327,42.5777
-93,-87,-89,-90,-91,-83,-87,-87,16.9327,42.5787
-95,-88,-91,-88,-95,-84,-89,-87,16.9326,42.5799
-96,-88,-91,-88,-95,-84,-89,-87,16.9325,42.581
-94,-132,-94,-88,-91,-91,-93,-87,16.9321,42.5765
-93,-132,-132,-89,-91,-89,-93,-88,16.9318,42.5747
-93,-90,-91,-88,-90,-85,-89,-88,16.9315,42.5729
-93,-91,-90,-87,-90,-88,-89,-85,16.9313,42.572
-92,-92,-93,-88,-90,-89,-93,-87,16.931,42.5702
-93,-93,-94,-88,-92,-89,-92,-88,16.9348,42.5682
-95,-132,-91,-87,-93,-90,-91,-87,16.9353,42.5713
-93,-88,-91,-93,-91,-85,-90,-89,16.9288,42.5842
-93,-90,-91,-92,-92,-85,-90,-88,16.9288,42.5833
-95,-92,-92,-94,-91,-86,-89,-90,16.9288,42.5815
-96,-89,-89,-90,-92,-84,-86,-88,16.9288,42.5804
-95,-132,-92,-89,-92,-89,-90,-87,16.9288,42.5787
