GW1-SF9,GW2-SF9,GW3-SF9,GW1-SF10,GW2-SF10,GW3-SF10,GW4-SF10,GW4-SF10,latitude ,longitude
-96,-132,-96,-91,-93,-92,-94,-88,16.93411,42.57006
-97,-93,-98,-89,-97,-93,-94,-87,16.93409,42.57172
-91,-132,-132,-88,-89,-91,-95,-89,16.9356,42.56808
-94,-132,-95,-89,-95,-132,-95,-88,16.93584,42.5695
-96,-92,-95,-92,-99,-93,-96,-91,16.9346,42.57328
-100,-132,-97,-88,-100,-132,-96,-88,16.9361,42.5665
-99,-132,-88,-90,-95,-90,-95,-89,16.9366,42.57
-100,-132,-96,-89,-96,-92,-94,-90,16.93509,42.56968
-96,-93,-96,-91,-94,-89,-93,-90,16.93509,42.57056
-98,-132,-96,-90,-95,-90,-95,-90,16.93456,42.57063
-99,-132,-96,-91,-98,-92,-94,-90,16.93478,42.5716
-101,-132,-96,-89,-98,-90,-94,-89,16.93541,42.57225
-100,-132,-99,-91,-97,-90,-94,-90,16.9343,42.56772
-100,-92,-94,-89,-97,-89,-92,-88,16.93358,42.579
-102,-132,-96,-88,-100,-93,-94,-89,16.9336,42.57821
-98,-132,-132,-88,-97,-132,-97,-89,16.93366,42.5775
-95,-132,-99,-89,-95,-93,-95,-88,16.9337,42.57642
-97,-132,-132,-89,-94,-132,-96,-89,16.9339,42.5755
-99,-91,-97,-89,-97,-91,-96,-88,16.9337,42.5738
-91,-88,-93,-85,-92,-83,-87,-85,16.9329,42.5683
-90,-85,-91,-85,-90,-90,-90,-84,16.9329,42.5711
-93,-85,-91,-85,-92,-91,-91,-85,16.9328,42.5739
-94,-90,-93,-87,-94,-89,-90,-87,16.9327,42.5767
-95,-87,-90,-90,-96,-88,-91,-91,16.9327,42.5796
-92,-91,-132,-88,-92,-90,-89,-87,16.9365,42.5683
-93,-86,-89,-87,-91,-86,-88,-88,16.9325,42.5852
-96,-90,-91,-88,-96,-87,-89,-92,16.9326,42.5824
-94,-88,-92,-92,-93,-87,-91,-91,16.9289,42.5852
-132,-132,-132,-132,-200,-200,-200,-200,16.9328,42.5796
-94,-88,-90,-89,-91,-86,-89,-87,16.9288,42.5824
-93,-86,-91,-89,-91,-87,-90,-88,16.9288,42.5797
-93,-85,-86,-89,-92,-83,-85,-88,16.9287,42.5766
-94,-87,-86,-89,-93,-88,-88,-87,16.9286,42.5711
-96,-88,-91,-88,-96,-87,-90,-88,16.9259,42.5822
-91,-87,-91,-89,-90,-87,-90,-88,16.9368,42.5711
-91,-89,-91,-85,-91,-87,-90,-84,16.9256,42.5795
-94,-86,-89,-89,-95,-86,-91,-88,16.9245,42.5713
-95,-132,-95,-87,-93,-90,-91,-85,16.9331,42.5691
-90,-132,-132,-85,-89,-87,-88,-84,16.9331,42.57
-93,-91,-94,-89,-91,-90,-92,-88,16.9329,42.5721
-93,-89,-93,-91,-93,-87,-91,-88,16.9329,42.5731
-94,-132,-132,-88,-93,-200,-93,-88,16.9328,42.5748
-93,-132,-95,-91,-92,-200,-93,-90,16.9328,42.5757
-95,-132,-90,-88,-95,-200,-94,-88,16.9327,42.5777
-93,-87,-89,-90,-93,-88,-88,-88,16.9327,42.5787
-95,-88,-91,-88,-94,-87,-90,-88,16.9326,42.5799
-96,-88,-91,-88,-95,-89,-91,-88,16.9325,42.581
-94,-132,-94,-88,-94,-88,-94,-86,16.9321,42.5765
-93,-132,-132,-89,-92,-200,-92,-87,16.9318,42.5747
-93,-90,-91,-88,-92,-87,-91,-87,16.9315,42.5729
-93,-91,-90,-87,-93,-91,-89,-88,16.9313,42.572
-92,-92,-93,-88,-93,-90,-93,-88,16.931,42.5702
-93,-93,-94,-88,-90,-91,-93,-89,16.9348,42.5682
-95,-132,-91,-87,-93,-94,-92,-87,16.9353,42.5713
-93,-88,-91,-93,-93,-87,-89,-90,16.9288,42.5842
-93,-90,-91,-92,-95,-87,-91,-89,16.9288,42.5833
-95,-92,-92,-94,-94,-89,-91,-90,16.9288,42.5815
-96,-89,-89,-90,-94,-86,-89,-88,16.9288,42.5804
-95,-132,-92,-89,-94,-87,-91,-89,16.9288,42.5787
