GW1-SF11,GW2-SF11,GW3-SF11,GW4-SF11,GW1-SF12,GW2-SF12,GW3-SF12,GW4-SF12,latitude ,longitude
-100,-91,-95,-88,-99,-89,-94,-86,16.92774,42.58829
-96,-132,-95,-86,-94,-89,-95,-87,16.92699,42.58786
-103,-132,-95,-86,-101,-89,-94,-87,16.92683,42.58712
-98,-82,-94,-85,-96,-132,-92,-86,16.9268,42.5859
-101,-87,-93,-86,-101,-87,-93,-86,16.9273,42.58589
-100,-88,-93,-92,-99,-86,-90,-91,16.92787,42.58462
-99,-87,-93,-86,-98,-88,-92,-86,16.92644,42.5838
-100,-90,-93,-89,-99,-86,-92,-90,16.9267,42.58209
-99,-89,-94,-84,-98,-86,-92,-84,16.92727,42.58182
-99,-89,-92,-90,-99,-87,-92,-88,16.92722,42.5826
-98,-88,-93,-89,-96,-87,-93,-87,16.9268,42.58271
-98,-87,-91,-87,-96,-85,-90,-85,16.92696,42.58325
-99,-88,-93,-86,-98,-86,-92,-86,16.92743,42.5832
-100,-89,-94,-90,-100,-86,-93,-90,16.92799,42.58319
-98,-88,-93,-90,-98,-88,-92,-90,16.92807,42.5825
-99,-88,-92,-94,-100,-87,-92,-91,16.92787,42.58382
-98,-91,-92,-90,-98,-86,-92,-88,16.9275,42.58384
-97,-88,-91,-89,-96,-86,-95,-89,16.92694,42.58392
-98,-92,-92,-85,-98,-86,-92,-86,16.92702,42.58466
-98,-87,-92,-91,-98,-86,-93,-91,16.92809,42.58179
-98,-86,-92,-88,-96,-85,-92,-90,16.92801,42.58099
-99,-88,-92,-88,-98,-87,-91,-89,16.92811,42.57991
-101,-87,-94,-90,-99,-86,-93,-90,16.92761,42.57958
-99,-89,-94,-89,-98,-88,-94,-88,16.9266,42.58081
-99,-86,-92,-89,-97,-87,-89,-88,16.92746,42.58084
-97,-89,-94,-89,-98,-86,-91,-88,16.92753,42.57953
-98,-90,-93,-85,-97,-87,-91,-85,16.92702,42.57927
-95,-87,-93,-88,-95,-84,-91,-87,16.92633,42.57879
-102,-90,-94,-91,-101,-88,-93,-91,16.93211,42.58438
-97,-92,-95,-91,-96,-91,-94,-90,16.93131,42.5842
-98,-92,-94,-90,-97,-90,-94,-91,16.93058,42.58403
-99,-92,-94,-92,-96,-90,-94,-91,16.92967,42.58385
-99,-91,-95,-91,-97,-90,-94,-91,16.92974,42.58301
-96,-132,-96,-91,-97,-93,-94,-90,16.9301,42.58301
-98,-92,-94,-93,-98,-88,-94,-91,16.93102,42.58309
-99,-91,-93,-92,-99,-87,-92,-91,16.93184,42.58324
-101,-89,-93,-90,-98,-88,-92,-89,16.9321,42.5825
-99,-89,-93,-90,-99,-88,-94,-90,16.93218,42.5817
-99,-88,-95,-91,-97,-86,-94,-91,16.93132,42.58162
-98,-89,-93,-91,-96,-86,-92,-90,16.93068,42.58157
-100,-92,-95,-91,-99,-89,-95,-92,16.9307,42.5823
-96,-89,-95,-90,-97,-89,-95,-91,16.92972,42.58219
-97,-132,-96,-90,-95,-91,-96,-90,16.92941,42.58144
-97,-132,-98,-90,-97,-92,-96,-90,16.92909,42.58104
-97,-132,-96,-89,-96,-132,-96,-88,16.92909,42.5803
-96,-90,-95,-92,-94,-93,-94,-90,16.92959,42.5803
-97,-90,-95,-90,-96,-90,-94,-91,16.9298,42.58091
-99,-89,-94,-91,-99,-88,-93,-90,16.9307,42.5811
-100,-90,-95,-92,-96,-86,-96,-90,16.93072,42.5804
-100,-87,-93,-91,-98,-85,-93,-88,16.9318,42.5798
-99,-90,-93,-92,-96,-92,-96,-90,16.931,42.5797
-96,-93,-90,-90,-95,-90,-96,-90,16.9302,42.57981
