GW1-SF11,GW2-SF11,GW3-SF11,GW4-SF11,GW1-SF12,GW2-SF12,GW3-SF12,GW4-SF12,latitude ,longitude
-99,-88,-93,-90,-98,-86,-95,-90,16.9319,42.57917
-98,-88,-94,-90,-97,-87,-94,-90,16.931,42.57914
-97,-91,-97,-91,-96,-90,-97,-91,16.93003,42.57904
-97,-87,-94,-91,-96,-85,-93,-89,16.93187,42.57847
-99,-89,-94,-90,-96,-85,-93,-90,16.93085,42.57838
-97,-89,-94,-90,-96,-87,-93,-89,16.93002,42.57834
-98,-90,-93,-90,-98,-88,-93,-90,16.93,42.5775
-97,-88,-92,-90,-97,-86,-91,-88,16.93112,42.57759
-99,-132,-96,-89,-97,-86,-96,-89,16.93139,42.57657
-99,-132,-132,-89,-98,-132,-92,-90,16.93139,42.5756
-97,-132,-97,-89,-97,-132,-94,-89,16.9313,42.57469
-100,-132,-132,-90,-98,-90,-97,-88,16.9311,42.57386
-98,-92,-94,-90,-96,-88,-93,-89,16.93051,42.57148
-95,-90,-95,-91,-92,-85,-93,-89,16.92983,42.57119
-101,-90,-94,-89,-101,-89,-94,-89,16.92828,42.5792
-100,-90,-95,-91,-99,-89,-94,-91,16.92759,42.57889
-96,-132,-97,-91,-97,-88,-95,-90,16.92681,42.57839
-96,-132,-96,-90,-93,-91,-95,-89,16.9261,42.5773
-96,-132,-95,-89,-97,-89,-93,-88,16.927,42.57719
-100,-89,-94,-91,-99,-87,-93,-90,16.92779,42.57718
-98,-85,-92,-91,-97,-85,-92,-91,16.9278,42.57629
-102,-88,-94,-88,-102,-86,-94,-86,16.92684,42.57618
-104,-89,-94,-88,-102,-87,-94,-87,16.9259,42.5761
-99,-91,-95,-89,-100,-88,-94,-88,16.92588,42.57525
-104,-90,-92,-88,-103,-89,-93,-90,16.92679,42.57539
-102,-90,-94,-86,-103,-90,-95,-87,16.9269,42.57479
-100,-90,-96,-86,-101,-89,-94,-89,16.9258,42.57467
-95,-87,-93,-95,-90,-84,-94,-91,16.93058,42.56839
-96,-90,-95,-89,-95,-132,-95,-89,16.93179,42.56826
-94,-86,-96,-89,-93,-86,-94,-90,16.93186,42.56889
-98,-87,-95,-90,-97,-98,-95,-88,16.9324,42.56951
-94,-87,-95,-89,-93,-86,-95,-89,16.9315,42.56952
-96,-89,-94,-89,-93,-90,-93,-89,16.9317,42.57012
-97,-132,-94,-90,-92,-88,-94,-90,16.9324,42.57019
-95,-88,-95,-92,-89,-89,-94,-89,16.93245,42.5711
-93,-87,-93,-90,-91,-86,-93,-89,16.9318,42.57093
-95,-86,-93,-89,-92,-84,-91,-87,16.93151,42.573
-96,-89,-95,-91,-94,-84,-93,-91,16.93228,42.57293
-95,-90,-94,-90,-94,-90,-95,-88,16.9305,42.5691
-98,-88,-93,-89,-90,-87,-94,-86,16.93225,42.57204
-96,-91,-95,-90,-94,-88,-95,-90,16.9341,42.57006
-98,-95,-96,-90,-95,-89,-93,-89,16.9341,42.57173
-92,-92,-95,-90,-88,-88,-95,-88,16.9356,42.5681
-96,-131,-96,-89,-92,-92,-94,-87,16.93582,42.56949
-98,-89,-94,-90,-96,-88,-93,-90,16.93459,42.57329
-99,-132,-96,-89,-98,-91,-96,-87,16.9361,42.56651
-98,-90,-96,-89,-94,-91,-95,-88,16.9366,42.56999
-94,-93,-93,-88,-94,-93,-95,-90,16.9351,42.56969
-94,-89,-93,-89,-92,-88,-95,-88,16.93506,42.57053
-95,-91,-92,-89,-94,-88,-95,-88,16.93456,42.57066
-96,-89,-95,-88,-93,-89,-93,-88,16.93478,42.57161
-96,-90,-95,-88,-96,-88,-94,-88,16.93541,42.57228
-96,-91,-94,-89,-94,-89,-98,-90,16.93428,42.56774
-98,-89,-93,-88,-97,-87,-93,-87,16.93355,42.57899
-99,-87,-95,-87,-97,-89,-93,-87,16.93359,42.57822
-97,-132,-96,-88,-96,-93,-96,-87,16.93366,42.57749
-96,-91,-95,-88,-95,-90,-96,-87,16.9337,42.57642
-96,-132,-97,-87,-93,-132,-95,-88,16.93389,42.57551
-98,-91,-96,-88,-95,-91,-96,-86,16.9337,42.57381
-88,-86,-90,-81,-89,-88,-86,-83,16.9328,42.5683
-89,-88,-91,-86,-89,-87,-90,-85,16.9329,42.5711
-92,-88,-90,-86,-93,-87,-89,-84,16.9328,42.5739
-94,-88,-91,-87,-92,-88,-91,-85,16.9327,42.5767
-95,-85,-91,-87,-95,-85,-91,-89,16.9327,42.5796
-92,-89,-92,-88,-91,-87,-91,-87,16.9365,42.5683
-91,-84,-88,-87,-92,-84,-88,-86,16.9325,42.5852
-94,-88,-90,-89,-94,-86,-90,-89,16.9326,42.5824
-91,-87,-91,-90,-91,-87,-92,-90,16.9289,42.5852
-96,-88,-93,-86,-95,-84,-91,-89,16.9328,42.5796
-92,-86,-89,-88,-91,-85,-89,-88,16.9288,42.5824
-91,-86,-90,-88,-90,-84,-89,-88,16.9288,42.5797
-93,-83,-86,-89,-92,-82,-86,-88,16.9287,42.5766
-94,-86,-87,-86,-92,-84,-86,-85,16.9286,42.5711
-95,-88,-91,-88,-94,-86,-90,-86,16.9259,42.5822
-92,-87,-90,-89,-91,-86,-89,-89,16.9368,42.5711
-91,-87,-90,-86,-91,-86,-90,-85,16.9256,42.5795
-94,-86,-91,-89,-94,-85,-90,-88,16.9245,42.5713
-93,-86,-91,-85,-93,-85,-89,-84,16.9331,42.5691
-90,-86,-89,-83,-89,-85,-90,-83,16.9331,42.57
-90,-88,-92,-88,-90,-87,-92,-86,16.9329,42.5721
-92,-88,-90,-89,-92,-86,-90,-88,16.9329,42.5731
-92,-200,-93,-88,-92,-92,-91,-86,16.9328,42.5748
-91,-93,-92,-91,-89,-93,-92,-88,16.9328,42.5757
-94,-200,-92,-88,-92,-89,-91,-87,16.9327,42.5777
-92,-84,-89,-88,-91,-83,-87,-87,16.9327,42.5787
-94,-85,-90,-88,-95,-84,-89,-87,16.9326,42.5799
-95,-85,-90,-88,-95,-84,-89,-87,16.9325,42.581
-92,-93,-94,-87,-91,-91,-93,-87,16.9321,42.5765
-93,-200,-94,-88,-91,-89,-93,-88,16.9318,42.5747
-92,-87,-90,-88,-90,-85,-89,-88,16.9315,42.5729
-90,-89,-90,-85,-90,-88,-89,-85,16.9313,42.572
-91,-89,-93,-88,-90,-89,-93,-87,16.931,42.5702
-92,-91,-93,-89,-92,-89,-92,-88,16.9348,42.5682
-94,-88,-92,-88,-93,-90,-91,-87,16.9353,42.5713
-93,-86,-89,-88,-91,-85,-90,-89,16.9288,42.5842
-93,-88,-91,-90,-92,-85,-90,-88,16.9288,42.5833
-93,-89,-92,-90,-91,-86,-89,-90,16.9288,42.5815
-94,-86,-88,-89,-92,-84,-86,-88,16.9288,42.5804
-94,-89,-91,-88,-92,-89,-90,-87,16.9288,42.5787
